Consequent,Antecedent,Supp,Conf,Lift
intensive_H,"('low_SL', 'Y_L', 'N_WA', 'N_P')",0.06,0.96,1.9
N_WA,"('low_SL', 'Y_L', 'intensive_H')",0.06,0.95,1.11
intensive_H,"('low_SL', 'Y_L', 'N_WA')",0.06,0.96,1.91
N_P,"('low_SL', 'Y_L', 'intensive_H')",0.06,1.0,1.02
intensive_H,"('low_SL', 'Y_L', 'N_P')",0.06,0.95,1.9
intensive_H,"('low_SL', 'Y_L')",0.06,0.95,1.9
N_P,"('low_SL', 'Y_L', 'N_WA')",0.06,1.0,1.02
N_WA,"('low_SL', 'Y_L', 'N_P')",0.06,0.95,1.11
N_WA,"('low_SL', 'Y_L')",0.06,0.95,1.11
N_P,"('low_SL', 'Y_L')",0.06,1.0,1.02
N_P,"('low_SL', 'insufficient_LE', 'medium_S')",0.05,0.98,1.0
insufficient_LE,"('low_SL', 'medium_S', 'N_P')",0.05,1.0,3.86
insufficient_LE,"('low_SL', 'medium_S')",0.06,1.0,3.86
N_P,"('low_SL', 'insufficient_LE', 'low_S', 'intensive_H')",0.05,1.0,1.02
intensive_H,"('low_SL', 'insufficient_LE', 'low_S', 'N_P')",0.05,0.72,1.43
insufficient_LE,"('low_SL', 'low_S', 'intensive_H', 'N_P')",0.05,1.0,3.86
low_SL,"('insufficient_LE', 'low_S', 'intensive_H', 'N_P')",0.05,0.92,6.71
intensive_H,"('low_SL', 'insufficient_LE', 'low_S')",0.05,0.72,1.43
insufficient_LE,"('low_SL', 'low_S', 'intensive_H')",0.05,1.0,3.86
low_SL,"('insufficient_LE', 'low_S', 'intensive_H')",0.05,0.92,6.71
N_P,"('low_SL', 'insufficient_LE', 'low_S', 'N_WA')",0.06,0.99,1.02
N_WA,"('low_SL', 'insufficient_LE', 'low_S', 'N_P')",0.06,0.87,1.02
insufficient_LE,"('low_SL', 'low_S', 'N_WA', 'N_P')",0.06,1.0,3.86
N_WA,"('low_SL', 'insufficient_LE', 'low_S')",0.06,0.87,1.02
insufficient_LE,"('low_SL', 'low_S', 'N_WA')",0.06,1.0,3.86
N_P,"('low_SL', 'insufficient_LE', 'low_S')",0.07,1.0,1.02
insufficient_LE,"('low_SL', 'low_S', 'N_P')",0.07,1.0,3.86
insufficient_LE,"('low_SL', 'low_S')",0.07,1.0,3.86
N_P,"('low_SL', 'insufficient_LE', 'intensive_H', 'N_WA')",0.09,0.99,1.01
N_WA,"('low_SL', 'insufficient_LE', 'intensive_H', 'N_P')",0.09,0.91,1.06
intensive_H,"('low_SL', 'insufficient_LE', 'N_WA', 'N_P')",0.09,0.73,1.46
insufficient_LE,"('low_SL', 'intensive_H', 'N_WA', 'N_P')",0.09,1.0,3.86
low_SL,"('insufficient_LE', 'intensive_H', 'N_WA', 'N_P')",0.09,0.91,6.66
N_WA,"('low_SL', 'insufficient_LE', 'intensive_H')",0.09,0.91,1.06
intensive_H,"('low_SL', 'insufficient_LE', 'N_WA')",0.09,0.73,1.46
insufficient_LE,"('low_SL', 'intensive_H', 'N_WA')",0.09,1.0,3.86
low_SL,"('insufficient_LE', 'intensive_H', 'N_WA')",0.09,0.91,6.66
N_P,"('low_SL', 'insufficient_LE', 'intensive_H')",0.1,0.99,1.01
intensive_H,"('low_SL', 'insufficient_LE', 'N_P')",0.1,0.71,1.41
insufficient_LE,"('low_SL', 'intensive_H', 'N_P')",0.1,1.0,3.86
low_SL,"('insufficient_LE', 'intensive_H', 'N_P')",0.1,0.9,6.61
intensive_H,"('low_SL', 'insufficient_LE')",0.1,0.71,1.41
insufficient_LE,"('low_SL', 'intensive_H')",0.1,1.0,3.86
low_SL,"('insufficient_LE', 'intensive_H')",0.1,0.9,6.62
N_P,"('low_SL', 'insufficient_LE', 'N_L', 'N_WA')",0.06,0.98,1.0
N_WA,"('low_SL', 'insufficient_LE', 'N_L', 'N_P')",0.06,0.81,0.95
insufficient_LE,"('low_SL', 'N_L', 'N_WA', 'N_P')",0.06,1.0,3.86
N_WA,"('low_SL', 'insufficient_LE', 'N_L')",0.06,0.81,0.95
insufficient_LE,"('low_SL', 'N_L', 'N_WA')",0.06,1.0,3.86
N_P,"('low_SL', 'insufficient_LE', 'N_L')",0.07,0.98,1.0
insufficient_LE,"('low_SL', 'N_L', 'N_P')",0.07,1.0,3.86
insufficient_LE,"('low_SL', 'N_L')",0.07,1.0,3.86
N_P,"('low_SL', 'insufficient_LE', 'N_WA')",0.12,0.99,1.01
N_WA,"('low_SL', 'insufficient_LE', 'N_P')",0.12,0.88,1.03
insufficient_LE,"('low_SL', 'N_WA', 'N_P')",0.12,1.0,3.86
N_WA,"('low_SL', 'insufficient_LE')",0.12,0.88,1.03
insufficient_LE,"('low_SL', 'N_WA')",0.12,1.0,3.86
N_P,"('low_SL', 'insufficient_LE')",0.14,0.99,1.01
insufficient_LE,"('low_SL', 'N_P')",0.14,1.0,3.86
insufficient_LE,"('low_SL',)",0.14,1.0,3.86
N_P,"('low_SL', 'medium_S')",0.05,0.98,1.0
N_P,"('low_SL', 'low_S', 'intensive_H')",0.05,1.0,1.02
intensive_H,"('low_SL', 'low_S', 'N_P')",0.05,0.72,1.43
intensive_H,"('low_SL', 'low_S')",0.05,0.72,1.43
N_P,"('low_SL', 'low_S', 'N_WA')",0.06,0.99,1.02
N_WA,"('low_SL', 'low_S', 'N_P')",0.06,0.87,1.02
N_WA,"('low_SL', 'low_S')",0.06,0.87,1.02
N_P,"('low_SL', 'low_S')",0.07,1.0,1.02
N_P,"('low_SL', 'intensive_H', 'N_WA')",0.09,0.99,1.01
N_WA,"('low_SL', 'intensive_H', 'N_P')",0.09,0.91,1.06
intensive_H,"('low_SL', 'N_WA', 'N_P')",0.09,0.73,1.46
N_WA,"('low_SL', 'intensive_H')",0.09,0.91,1.06
intensive_H,"('low_SL', 'N_WA')",0.09,0.73,1.46
N_P,"('low_SL', 'intensive_H')",0.1,0.99,1.01
intensive_H,"('low_SL', 'N_P')",0.1,0.71,1.41
intensive_H,"('low_SL',)",0.1,0.71,1.41
N_P,"('low_SL', 'N_L', 'N_WA')",0.06,0.98,1.0
N_WA,"('low_SL', 'N_L', 'N_P')",0.06,0.81,0.95
N_WA,"('low_SL', 'N_L')",0.06,0.81,0.95
N_P,"('low_SL', 'N_L')",0.07,0.98,1.0
N_P,"('low_SL', 'N_WA')",0.12,0.99,1.01
N_WA,"('low_SL', 'N_P')",0.12,0.88,1.03
