ITEMSET,SUPPORT
"('5_SL', 'Y_L', '3_T', 'medium_S', 'N_WA')",0.02
"('5_SL', 'Y_L', '3_T', 'medium_S', 'N_WA', 'N_P')",0.02
"('5_SL', 'Y_L', '3_T', 'medium_S', 'N_P')",0.02
"('5_SL', 'Y_L', '3_T', 'low_S')",0.04
"('5_SL', 'Y_L', '3_T', 'low_S', 'N_WA')",0.03
"('5_SL', 'Y_L', '3_T', 'low_S', 'N_WA', 'N_P')",0.03
"('5_SL', 'Y_L', '3_T', 'low_S', 'N_P')",0.04
"('5_SL', 'Y_L', '3_T', 'N_WA')",0.06
"('5_SL', 'Y_L', '3_T', 'N_WA', 'N_P')",0.06
"('5_SL', 'Y_L', '3_T', 'N_P')",0.06
"('5_SL', 'Y_L', 'medium_S')",0.02
"('5_SL', 'Y_L', 'medium_S', 'N_WA')",0.02
"('5_SL', 'Y_L', 'medium_S', 'N_WA', 'N_P')",0.02
"('5_SL', 'Y_L', 'medium_S', 'N_P')",0.02
"('5_SL', 'Y_L', 'low_S')",0.04
"('5_SL', 'Y_L', 'low_S', 'N_WA')",0.03
"('5_SL', 'Y_L', 'low_S', 'N_WA', 'N_P')",0.03
"('5_SL', 'Y_L', 'low_S', 'N_P')",0.04
"('5_SL', 'Y_L', 'N_WA')",0.06
"('5_SL', 'Y_L', 'N_WA', 'N_P')",0.06
"('5_SL', 'Y_L', 'N_P')",0.06
"('5_SL', '0_D')",0.02
"('5_SL', '0_D', 'N_WA')",0.02
"('5_SL', '0_D', 'N_WA', 'N_P')",0.02
"('5_SL', '0_D', 'N_P')",0.02
"('5_SL', '3_T')",0.06
"('5_SL', '3_T', 'medium_S')",0.02
"('5_SL', '3_T', 'medium_S', 'N_WA')",0.02
"('5_SL', '3_T', 'medium_S', 'N_WA', 'N_P')",0.02
"('5_SL', '3_T', 'medium_S', 'N_P')",0.02
"('5_SL', '3_T', 'low_S')",0.04
"('5_SL', '3_T', 'low_S', 'N_WA')",0.03
"('5_SL', '3_T', 'low_S', 'N_WA', 'N_P')",0.03
"('5_SL', '3_T', 'low_S', 'N_P')",0.04
"('5_SL', '3_T', 'N_WA')",0.06
"('5_SL', '3_T', 'N_WA', 'N_P')",0.06
"('5_SL', '3_T', 'N_P')",0.06
"('5_SL', 'medium_S')",0.03
"('5_SL', 'medium_S', 'N_WA')",0.03
"('5_SL', 'medium_S', 'N_WA', 'N_P')",0.03
"('5_SL', 'medium_S', 'N_P')",0.03
"('5_SL', 'low_S')",0.04
"('5_SL', 'low_S', 'N_WA')",0.04
"('5_SL', 'low_S', 'N_WA', 'N_P')",0.04
"('5_SL', 'low_S', 'N_P')",0.04
"('5_SL', 'N_WA')",0.07
"('5_SL', 'N_WA', 'N_P')",0.07
"('5_SL', 'N_P')",0.08
"('6_NP', '4_T')",0.04
"('6_NP', '4_T', 'Y_L')",0.04
"('6_NP', '4_T', 'Y_L', 'low_S')",0.02
"('6_NP', '4_T', 'Y_L', 'low_S', 'N_WA')",0.02
"('6_NP', '4_T', 'Y_L', 'low_S', 'N_WA', 'N_P')",0.02
"('6_NP', '4_T', 'Y_L', 'low_S', 'N_P')",0.02
"('6_NP', '4_T', 'Y_L', 'N_WA')",0.04
"('6_NP', '4_T', 'Y_L', 'N_WA', 'N_P')",0.04
"('6_NP', '4_T', 'Y_L', 'N_P')",0.04
"('6_NP', '4_T', 'low_S')",0.03
"('6_NP', '4_T', 'low_S', 'N_WA')",0.02
"('6_NP', '4_T', 'low_S', 'N_WA', 'N_P')",0.02
"('6_NP', '4_T', 'low_S', 'N_P')",0.03
"('6_NP', '4_T', 'N_WA')",0.04
"('6_NP', '4_T', 'N_WA', 'N_P')",0.04
"('6_NP', '4_T', 'N_P')",0.04
"('6_NP', 'Y_L')",0.04
"('6_NP', 'Y_L', 'low_S')",0.03
"('6_NP', 'Y_L', 'low_S', 'N_WA')",0.03
"('6_NP', 'Y_L', 'low_S', 'N_WA', 'N_P')",0.02
"('6_NP', 'Y_L', 'low_S', 'N_P')",0.03
"('6_NP', 'Y_L', 'N_WA')",0.04
"('6_NP', 'Y_L', 'N_WA', 'N_P')",0.04
"('6_NP', 'Y_L', 'N_P')",0.04
"('6_NP', '0_D')",0.02
"('6_NP', '0_D', 'N_P')",0.02
"('6_NP', 'medium_S')",0.03
"('6_NP', 'medium_S', 'N_WA')",0.03
"('6_NP', 'medium_S', 'N_WA', 'N_P')",0.03
"('6_NP', 'medium_S', 'N_P')",0.03
"('6_NP', 'low_S')",0.04
"('6_NP', 'low_S', 'N_WA')",0.04
"('6_NP', 'low_S', 'N_WA', 'N_P')",0.04
"('6_NP', 'low_S', 'N_P')",0.04
"('6_NP', 'N_L')",0.03
"('6_NP', 'N_L', 'N_WA')",0.03
"('6_NP', 'N_L', 'N_WA', 'N_P')",0.03
"('6_NP', 'N_L', 'N_P')",0.03
"('6_NP', 'N_WA')",0.07
"('6_NP', 'N_WA', 'N_P')",0.07
"('6_NP', 'N_P')",0.08
"('14_SL', '2_T', 'N_L')",0.02
"('14_SL', '2_T', 'N_L', 'N_P')",0.02
"('14_SL', '3_NP', 'N_L')",0.03
"('14_SL', '3_NP', 'N_L', 'N_WA')",0.02
"('14_SL', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('14_SL', '3_NP', 'N_L', 'N_P')",0.03
"('14_SL', '0_D', 'N_L')",0.02
"('14_SL', '0_D', 'N_L', 'N_P')",0.02
"('14_SL', '4_NP', 'N_L')",0.03
"('14_SL', '4_NP', 'N_L', 'N_WA')",0.02
"('14_SL', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('14_SL', '4_NP', 'N_L', 'N_P')",0.03
"('14_SL', '3_T', 'N_L')",0.03
"('14_SL', '3_T', 'N_L', 'N_WA')",0.03
"('14_SL', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('14_SL', '3_T', 'N_L', 'N_P')",0.03
"('14_SL', 'medium_S', 'N_L')",0.04
"('14_SL', 'medium_S', 'N_L', 'N_WA')",0.03
"('14_SL', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('14_SL', 'medium_S', 'N_L', 'N_P')",0.03
"('14_SL', 'low_S', 'N_L')",0.04
"('14_SL', 'low_S', 'N_L', 'N_WA')",0.03
"('14_SL', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('14_SL', 'low_S', 'N_L', 'N_P')",0.04
"('14_SL', 'N_L')",0.08
"('14_SL', 'N_L', 'N_WA')",0.06
"('14_SL', 'N_L', 'N_WA', 'N_P')",0.06
"('14_SL', 'N_L', 'N_P')",0.08
"('8_SL', '2_T')",0.02
"('8_SL', '2_T', 'N_L')",0.02
"('8_SL', '2_T', 'N_L', 'N_WA')",0.02
"('8_SL', '2_T', 'N_L', 'N_WA', 'N_P')",0.02
"('8_SL', '2_T', 'N_L', 'N_P')",0.02
"('8_SL', '2_T', 'N_WA')",0.02
"('8_SL', '2_T', 'N_WA', 'N_P')",0.02
"('8_SL', '2_T', 'N_P')",0.02
"('8_SL', '3_NP')",0.03
"('8_SL', '3_NP', 'N_L')",0.03
"('8_SL', '3_NP', 'N_L', 'N_WA')",0.02
"('8_SL', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('8_SL', '3_NP', 'N_L', 'N_P')",0.03
"('8_SL', '3_NP', 'N_WA')",0.02
"('8_SL', '3_NP', 'N_WA', 'N_P')",0.02
"('8_SL', '3_NP', 'N_P')",0.03
"('8_SL', '0_D')",0.02
"('8_SL', '0_D', 'N_L')",0.02
"('8_SL', '0_D', 'N_P')",0.02
"('8_SL', '4_NP')",0.03
"('8_SL', '4_NP', 'N_L')",0.03
"('8_SL', '4_NP', 'N_L', 'N_WA')",0.02
"('8_SL', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('8_SL', '4_NP', 'N_L', 'N_P')",0.03
"('8_SL', '4_NP', 'N_WA')",0.02
"('8_SL', '4_NP', 'N_WA', 'N_P')",0.02
"('8_SL', '4_NP', 'N_P')",0.03
"('8_SL', '3_T')",0.04
"('8_SL', '3_T', 'N_L')",0.03
"('8_SL', '3_T', 'N_L', 'N_WA')",0.03
"('8_SL', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('8_SL', '3_T', 'N_L', 'N_P')",0.03
"('8_SL', '3_T', 'N_WA')",0.03
"('8_SL', '3_T', 'N_WA', 'N_P')",0.03
"('8_SL', '3_T', 'N_P')",0.03
"('8_SL', 'medium_S')",0.04
"('8_SL', 'medium_S', 'N_L')",0.04
"('8_SL', 'medium_S', 'N_L', 'N_WA')",0.03
"('8_SL', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('8_SL', 'medium_S', 'N_L', 'N_P')",0.04
"('8_SL', 'medium_S', 'N_WA')",0.03
"('8_SL', 'medium_S', 'N_WA', 'N_P')",0.03
"('8_SL', 'medium_S', 'N_P')",0.04
"('8_SL', 'low_S')",0.03
"('8_SL', 'low_S', 'N_L')",0.03
"('8_SL', 'low_S', 'N_L', 'N_WA')",0.03
"('8_SL', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('8_SL', 'low_S', 'N_L', 'N_P')",0.03
"('8_SL', 'low_S', 'N_WA')",0.03
"('8_SL', 'low_S', 'N_WA', 'N_P')",0.03
"('8_SL', 'low_S', 'N_P')",0.03
"('8_SL', 'N_L')",0.08
"('8_SL', 'N_L', 'N_WA')",0.06
"('8_SL', 'N_L', 'N_WA', 'N_P')",0.06
"('8_SL', 'N_L', 'N_P')",0.08
"('8_SL', 'N_WA')",0.07
"('8_SL', 'N_WA', 'N_P')",0.07
"('8_SL', 'N_P')",0.08
"('9_H', '5_NP')",0.02
"('9_H', '5_NP', 'N_P')",0.02
"('9_H', '3_NP')",0.02
"('9_H', '3_NP', 'N_L')",0.02
"('9_H', '3_NP', 'N_L', 'N_P')",0.02
"('9_H', '3_NP', 'N_P')",0.02
"('9_H', '0_D')",0.02
"('9_H', '0_D', 'N_P')",0.02
"('9_H', '4_NP')",0.03
"('9_H', '4_NP', 'N_L')",0.02
"('9_H', '4_NP', 'N_L', 'N_P')",0.02
"('9_H', '4_NP', 'N_WA')",0.02
"('9_H', '4_NP', 'N_WA', 'N_P')",0.02
"('9_H', '4_NP', 'N_P')",0.03
"('9_H', '3_T')",0.03
"('9_H', '3_T', 'N_L')",0.03
"('9_H', '3_T', 'N_L', 'N_WA')",0.02
"('9_H', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('9_H', '3_T', 'N_L', 'N_P')",0.03
"('9_H', '3_T', 'N_WA')",0.02
"('9_H', '3_T', 'N_WA', 'N_P')",0.02
"('9_H', '3_T', 'N_P')",0.03
"('9_H', 'medium_S')",0.04
"('9_H', 'medium_S', 'N_L')",0.03
"('9_H', 'medium_S', 'N_L', 'N_WA')",0.03
"('9_H', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.02
"('9_H', 'medium_S', 'N_L', 'N_P')",0.03
"('9_H', 'medium_S', 'N_WA')",0.03
"('9_H', 'medium_S', 'N_WA', 'N_P')",0.03
"('9_H', 'medium_S', 'N_P')",0.03
"('9_H', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('9_H', 'low_S', 'N_L', 'N_P')",0.03
"('9_H', 'low_S', 'N_WA', 'N_P')",0.03
"('9_H', 'low_S', 'N_P')",0.04
"('9_H', 'N_L')",0.07
"('9_H', 'N_L', 'N_WA')",0.05
"('9_H', 'N_L', 'N_WA', 'N_P')",0.05
"('9_H', 'N_L', 'N_P')",0.06
"('9_H', 'N_WA')",0.07
"('9_H', 'N_WA', 'N_P')",0.07
"('9_H', 'N_P')",0.08
"('3_D', '3_NP', 'N_L', 'N_P')",0.02
"('3_D', '3_NP', 'N_P')",0.02
"('3_D', '4_NP', 'N_L', 'N_P')",0.02
"('3_D', '4_NP', 'N_P')",0.02
"('3_D', '3_T')",0.03
"('3_D', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('3_D', '3_T', 'N_L', 'N_P')",0.03
"('3_D', '3_T', 'N_WA')",0.03
"('3_D', '3_T', 'N_WA', 'N_P')",0.03
"('3_D', '3_T', 'N_P')",0.03
"('3_D', 'medium_S')",0.04
"('3_D', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.02
"('3_D', 'medium_S', 'N_L', 'N_P')",0.03
"('3_D', 'medium_S', 'N_WA')",0.03
"('3_D', 'medium_S', 'N_WA', 'N_P')",0.03
"('3_D', 'medium_S', 'N_P')",0.04
"('3_D', 'low_S')",0.04
"('3_D', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('3_D', 'low_S', 'N_L', 'N_P')",0.03
"('3_D', 'low_S', 'N_WA')",0.03
"('3_D', 'low_S', 'N_WA', 'N_P')",0.03
"('3_D', 'low_S', 'N_P')",0.04
"('3_D', 'N_L', 'N_WA', 'N_P')",0.05
"('3_D', 'N_L', 'N_P')",0.06
"('3_D', 'N_WA')",0.07
"('3_D', 'N_WA', 'N_P')",0.07
"('3_D', 'N_P')",0.08
"('13_SL', '5_NP')",0.02
"('13_SL', '5_NP', 'N_P')",0.02
"('13_SL', '3_NP')",0.03
"('13_SL', '3_NP', 'N_L')",0.02
"('13_SL', '3_NP', 'N_L', 'N_WA')",0.02
"('13_SL', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('13_SL', '3_NP', 'N_L', 'N_P')",0.02
"('13_SL', '3_NP', 'N_WA')",0.02
"('13_SL', '3_NP', 'N_WA', 'N_P')",0.02
"('13_SL', '3_NP', 'N_P')",0.02
"('13_SL', '0_D')",0.02
"('13_SL', '0_D', 'N_WA')",0.02
"('13_SL', '0_D', 'N_P')",0.02
"('13_SL', '4_NP')",0.03
"('13_SL', '4_NP', 'N_L')",0.03
"('13_SL', '4_NP', 'N_L', 'N_WA')",0.02
"('13_SL', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('13_SL', '4_NP', 'N_L', 'N_P')",0.03
"('13_SL', '4_NP', 'N_WA')",0.03
"('13_SL', '4_NP', 'N_WA', 'N_P')",0.03
"('13_SL', '4_NP', 'N_P')",0.03
"('13_SL', '3_T')",0.03
"('13_SL', '3_T', 'N_L')",0.03
"('13_SL', '3_T', 'N_L', 'N_WA')",0.03
"('13_SL', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('13_SL', '3_T', 'N_L', 'N_P')",0.03
"('13_SL', '3_T', 'N_WA')",0.03
"('13_SL', '3_T', 'N_WA', 'N_P')",0.02
"('13_SL', '3_T', 'N_P')",0.03
"('13_SL', 'medium_S')",0.04
"('13_SL', 'medium_S', 'N_L')",0.03
"('13_SL', 'medium_S', 'N_L', 'N_WA')",0.03
"('13_SL', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('13_SL', 'medium_S', 'N_L', 'N_P')",0.03
"('13_SL', 'medium_S', 'N_WA')",0.03
"('13_SL', 'medium_S', 'N_WA', 'N_P')",0.03
"('13_SL', 'medium_S', 'N_P')",0.04
"('13_SL', 'low_S')",0.04
"('13_SL', 'low_S', 'N_L')",0.03
"('13_SL', 'low_S', 'N_L', 'N_WA')",0.03
"('13_SL', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('13_SL', 'low_S', 'N_L', 'N_P')",0.03
"('13_SL', 'low_S', 'N_WA')",0.03
"('13_SL', 'low_S', 'N_WA', 'N_P')",0.03
"('13_SL', 'low_S', 'N_P')",0.04
"('13_SL', 'N_L')",0.07
"('13_SL', 'N_L', 'N_WA')",0.06
"('13_SL', 'N_L', 'N_WA', 'N_P')",0.06
"('13_SL', 'N_L', 'N_P')",0.07
"('13_SL', 'N_WA')",0.07
"('13_SL', 'N_WA', 'N_P')",0.07
"('13_SL', 'N_P')",0.08
"('high_S', '2_T', 'N_L')",0.02
"('high_S', '3_NP')",0.03
"('high_S', '3_NP', 'N_L')",0.03
"('high_S', '3_NP', 'N_L', 'N_WA')",0.02
"('high_S', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('high_S', '3_NP', 'N_L', 'N_P')",0.03
"('high_S', '3_NP', 'N_WA')",0.02
"('high_S', '3_NP', 'N_WA', 'N_P')",0.02
"('high_S', '3_NP', 'N_P')",0.03
"('high_S', '4_NP')",0.02
"('high_S', '4_NP', 'N_L')",0.02
"('high_S', '4_NP', 'N_L', 'N_WA')",0.02
"('high_S', '4_NP', 'N_L', 'N_P')",0.02
"('high_S', '4_NP', 'N_WA')",0.02
"('high_S', '4_NP', 'N_P')",0.02
"('high_S', '3_T')",0.03
"('high_S', '3_T', 'N_L')",0.03
"('high_S', '3_T', 'N_L', 'N_WA')",0.03
"('high_S', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('high_S', '3_T', 'N_L', 'N_P')",0.03
"('high_S', '3_T', 'N_WA')",0.03
"('high_S', '3_T', 'N_WA', 'N_P')",0.03
"('high_S', '3_T', 'N_P')",0.03
"('high_S', 'N_L')",0.08
"('high_S', 'N_L', 'N_WA')",0.06
"('high_S', 'N_L', 'N_WA', 'N_P')",0.06
"('high_S', 'N_L', 'N_P')",0.07
"('high_S', 'N_WA')",0.07
"('high_S', 'N_WA', 'N_P')",0.07
"('high_S', 'N_P')",0.08
"('14_LE', '5_T')",0.02
"('14_LE', '5_T', 'N_P')",0.02
"('14_LE', '5_NP')",0.02
"('14_LE', '5_NP', 'N_WA')",0.02
"('14_LE', '5_NP', 'N_WA', 'N_P')",0.02
"('14_LE', '5_NP', 'N_P')",0.02
"('14_LE', 'Y_L')",0.03
"('14_LE', 'Y_L', 'N_WA', 'N_P')",0.03
"('14_LE', 'Y_L', 'N_P')",0.03
"('14_LE', '3_NP')",0.02
"('14_LE', '0_D')",0.02
"('14_LE', '0_D', 'N_WA')",0.02
"('14_LE', '0_D', 'N_WA', 'N_P')",0.02
"('14_LE', '0_D', 'N_P')",0.02
"('14_LE', '4_NP')",0.03
"('14_LE', '4_NP', 'N_L')",0.02
"('14_LE', '4_NP', 'N_L', 'N_P')",0.02
"('14_LE', '4_NP', 'N_WA')",0.03
"('14_LE', '4_NP', 'N_WA', 'N_P')",0.03
"('14_LE', '4_NP', 'N_P')",0.03
"('14_LE', '3_T')",0.03
"('14_LE', '3_T', 'N_L')",0.03
"('14_LE', '3_T', 'N_L', 'N_WA')",0.02
"('14_LE', '3_T', 'N_L', 'N_WA', 'N_P')",0.02
"('14_LE', '3_T', 'N_L', 'N_P')",0.03
"('14_LE', '3_T', 'N_WA')",0.02
"('14_LE', '3_T', 'N_WA', 'N_P')",0.02
"('14_LE', '3_T', 'N_P')",0.03
"('14_LE', 'medium_S')",0.04
"('14_LE', 'medium_S', 'N_L')",0.03
"('14_LE', 'medium_S', 'N_L', 'N_WA')",0.02
"('14_LE', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.02
"('14_LE', 'medium_S', 'N_L', 'N_P')",0.03
"('14_LE', 'medium_S', 'N_WA')",0.03
"('14_LE', 'medium_S', 'N_WA', 'N_P')",0.03
"('14_LE', 'medium_S', 'N_P')",0.04
"('14_LE', 'low_S')",0.05
"('14_LE', 'low_S', 'N_L')",0.03
"('14_LE', 'low_S', 'N_L', 'N_WA')",0.02
"('14_LE', 'low_S', 'N_L', 'N_WA', 'N_P')",0.02
"('14_LE', 'low_S', 'N_L', 'N_P')",0.03
"('14_LE', 'low_S', 'N_WA')",0.04
"('14_LE', 'low_S', 'N_WA', 'N_P')",0.04
"('14_LE', 'low_S', 'N_P')",0.04
"('14_LE', 'N_L')",0.06
"('14_LE', 'N_L', 'N_WA')",0.05
"('14_LE', 'N_L', 'N_WA', 'N_P')",0.05
"('14_LE', 'N_L', 'N_P')",0.06
"('14_LE', 'N_WA')",0.08
"('14_LE', 'N_WA', 'N_P')",0.08
"('14_LE', 'N_P')",0.09
"('10_SL', '5_NP')",0.02
"('10_SL', '5_NP', 'N_P')",0.02
"('10_SL', '2_T')",0.02
"('10_SL', '2_T', 'N_L')",0.02
"('10_SL', '2_T', 'N_L', 'N_P')",0.02
"('10_SL', '2_T', 'N_P')",0.02
"('10_SL', '3_NP')",0.03
"('10_SL', '3_NP', 'N_L')",0.03
"('10_SL', '3_NP', 'N_L', 'N_WA')",0.02
"('10_SL', '3_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('10_SL', '3_NP', 'N_L', 'N_P')",0.03
"('10_SL', '3_NP', 'N_WA')",0.02
"('10_SL', '3_NP', 'N_WA', 'N_P')",0.02
"('10_SL', '3_NP', 'N_P')",0.03
"('10_SL', '0_D')",0.02
"('10_SL', '0_D', 'N_L')",0.02
"('10_SL', '0_D', 'N_L', 'N_P')",0.02
"('10_SL', '0_D', 'N_WA')",0.02
"('10_SL', '0_D', 'N_WA', 'N_P')",0.02
"('10_SL', '0_D', 'N_P')",0.02
"('10_SL', '4_NP')",0.03
"('10_SL', '4_NP', 'N_L')",0.03
"('10_SL', '4_NP', 'N_L', 'N_WA')",0.02
"('10_SL', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('10_SL', '4_NP', 'N_L', 'N_P')",0.03
"('10_SL', '4_NP', 'N_WA')",0.03
"('10_SL', '4_NP', 'N_WA', 'N_P')",0.03
"('10_SL', '4_NP', 'N_P')",0.03
"('10_SL', '3_T')",0.04
"('10_SL', '3_T', 'N_L')",0.04
"('10_SL', '3_T', 'N_L', 'N_WA')",0.03
"('10_SL', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('10_SL', '3_T', 'N_L', 'N_P')",0.03
"('10_SL', '3_T', 'N_WA')",0.03
"('10_SL', '3_T', 'N_WA', 'N_P')",0.03
"('10_SL', '3_T', 'N_P')",0.04
"('10_SL', 'medium_S')",0.04
"('10_SL', 'medium_S', 'N_L')",0.04
"('10_SL', 'medium_S', 'N_L', 'N_WA')",0.03
"('10_SL', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.03
"('10_SL', 'medium_S', 'N_L', 'N_P')",0.03
"('10_SL', 'medium_S', 'N_WA')",0.03
"('10_SL', 'medium_S', 'N_WA', 'N_P')",0.03
"('10_SL', 'medium_S', 'N_P')",0.04
"('10_SL', 'low_S')",0.04
"('10_SL', 'low_S', 'N_L')",0.03
"('10_SL', 'low_S', 'N_L', 'N_WA')",0.03
"('10_SL', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('10_SL', 'low_S', 'N_L', 'N_P')",0.03
"('10_SL', 'low_S', 'N_WA')",0.04
"('10_SL', 'low_S', 'N_WA', 'N_P')",0.04
"('10_SL', 'low_S', 'N_P')",0.04
"('10_SL', 'N_L')",0.08
"('10_SL', 'N_L', 'N_WA')",0.06
"('10_SL', 'N_L', 'N_WA', 'N_P')",0.06
"('10_SL', 'N_L', 'N_P')",0.08
"('10_SL', 'N_WA')",0.08
"('10_SL', 'N_WA', 'N_P')",0.07
"('10_SL', 'N_P')",0.09
"('12_SL', '5_NP')",0.02
"('12_SL', '5_NP', 'N_WA')",0.02
"('12_SL', '5_NP', 'N_WA', 'N_P')",0.02
"('12_SL', '5_NP', 'N_P')",0.02
"('12_SL', '2_T')",0.02
"('12_SL', '2_T', 'N_L')",0.02
"('12_SL', '2_T', 'N_L', 'N_P')",0.02
"('12_SL', '2_T', 'N_P')",0.02
"('12_SL', 'Y_L')",0.02
"('12_SL', 'Y_L', 'N_P')",0.02
"('12_SL', '3_NP')",0.03
"('12_SL', '3_NP', 'N_L')",0.02
"('12_SL', '3_NP', 'N_L', 'N_WA')",0.02
"('12_SL', '3_NP', 'N_L', 'N_P')",0.02
"('12_SL', '3_NP', 'N_WA')",0.02
"('12_SL', '3_NP', 'N_WA', 'N_P')",0.02
"('12_SL', '3_NP', 'N_P')",0.02
"('12_SL', '0_D')",0.02
"('12_SL', '0_D', 'N_WA')",0.02
"('12_SL', '0_D', 'N_P')",0.02
"('12_SL', '4_NP')",0.03
"('12_SL', '4_NP', 'N_L')",0.03
"('12_SL', '4_NP', 'N_L', 'N_WA')",0.02
"('12_SL', '4_NP', 'N_L', 'N_WA', 'N_P')",0.02
"('12_SL', '4_NP', 'N_L', 'N_P')",0.03
"('12_SL', '4_NP', 'N_WA')",0.03
"('12_SL', '4_NP', 'N_WA', 'N_P')",0.03
"('12_SL', '4_NP', 'N_P')",0.03
"('12_SL', '3_T')",0.03
"('12_SL', '3_T', 'N_L')",0.03
"('12_SL', '3_T', 'N_L', 'N_WA')",0.03
"('12_SL', '3_T', 'N_L', 'N_WA', 'N_P')",0.03
"('12_SL', '3_T', 'N_L', 'N_P')",0.03
"('12_SL', '3_T', 'N_P')",0.03
"('12_SL', 'medium_S')",0.04
"('12_SL', 'medium_S', 'N_L')",0.03
"('12_SL', 'medium_S', 'N_L', 'N_WA')",0.03
"('12_SL', 'medium_S', 'N_L', 'N_WA', 'N_P')",0.02
"('12_SL', 'medium_S', 'N_L', 'N_P')",0.03
"('12_SL', 'medium_S', 'N_WA')",0.03
"('12_SL', 'medium_S', 'N_WA', 'N_P')",0.03
"('12_SL', 'medium_S', 'N_P')",0.04
"('12_SL', 'low_S')",0.05
"('12_SL', 'low_S', 'N_L')",0.03
"('12_SL', 'low_S', 'N_L', 'N_WA')",0.03
"('12_SL', 'low_S', 'N_L', 'N_WA', 'N_P')",0.03
"('12_SL', 'low_S', 'N_L', 'N_P')",0.03
"('12_SL', 'low_S', 'N_WA')",0.04
"('12_SL', 'low_S', 'N_WA', 'N_P')",0.04
"('12_SL', 'low_S', 'N_P')",0.05
"('12_SL', 'N_L')",0.07
"('12_SL', 'N_L', 'N_WA')",0.06
"('12_SL', 'N_L', 'N_WA', 'N_P')",0.06
"('12_SL', 'N_L', 'N_P')",0.07
"('12_SL', 'N_WA')",0.08
"('12_SL', 'N_WA', 'N_P')",0.08
"('12_SL', 'N_P')",0.09
"('4_LE', '3_H')",0.02
"('4_LE', '2_NP')",0.04
"('4_LE', '2_NP', 'Y_L')",0.03
"('4_LE', '2_NP', 'Y_L', '3_T')",0.03
"('4_LE', '2_NP', 'Y_L', '3_T', 'low_S', 'N_P')",0.02
"('4_LE', '2_NP', 'Y_L', '3_T', 'N_WA')",0.03
"('4_LE', '2_NP', 'Y_L', '3_T', 'N_WA', 'N_P')",0.03
"('4_LE', '2_NP', 'Y_L', '3_T', 'N_P')",0.03
"('4_LE', '2_NP', 'Y_L', 'N_WA')",0.03
"('4_LE', '2_NP', 'Y_L', 'N_WA', 'N_P')",0.03
"('4_LE', '2_NP', 'Y_L', 'N_P')",0.03
"('4_LE', '2_NP', '3_T')",0.03
"('4_LE', '2_NP', '3_T', 'low_S', 'N_P')",0.02
"('4_LE', '2_NP', '3_T', 'N_WA')",0.03
"('4_LE', '2_NP', '3_T', 'N_WA', 'N_P')",0.03
"('4_LE', '2_NP', '3_T', 'N_P')",0.03
"('4_LE', '2_NP', 'low_S', 'N_WA', 'N_P')",0.02
"('4_LE', '2_NP', 'low_S', 'N_P')",0.02
"('4_LE', '2_NP', 'N_WA')",0.03
"('4_LE', '2_NP', 'N_WA', 'N_P')",0.03
"('4_LE', '2_NP', 'N_P')",0.04
"('4_LE', 'Y_L')",0.03
"('4_LE', 'Y_L', '3_T')",0.03
"('4_LE', 'Y_L', '3_T', 'low_S', 'N_P')",0.02
"('4_LE', 'Y_L', '3_T', 'N_WA')",0.03
"('4_LE', 'Y_L', '3_T', 'N_WA', 'N_P')",0.03
"('4_LE', 'Y_L', '3_T', 'N_P')",0.03
"('4_LE', 'Y_L', 'low_S', 'N_WA', 'N_P')",0.02
"('4_LE', 'Y_L', 'low_S', 'N_P')",0.02
"('4_LE', 'Y_L', 'N_WA')",0.03
"('4_LE', 'Y_L', 'N_WA', 'N_P')",0.03
"('4_LE', 'Y_L', 'N_P')",0.03
"('4_LE', '3_NP')",0.02
"('4_LE', '3_NP', 'N_L')",0.02
